,event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,Origin,Proximity Flag
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,2473,SSW,False
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,2473,SSW,False
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,2473,SSW,False
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,2473,SSW,False
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,2473,SSW,False
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,2473,SSW,False
6,2016-01-01 23:10:00.000,2016-01-02 00:11:00.000,2016-01-02 01:01:00.000,M2.3,12473,GOES,False
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,2473,SSW,True
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,2476,SSW,False
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,0,SSW,False
10,2016-01-05 16:32:00.000,2016-01-05 16:48:00.000,2016-01-05 16:59:00.000,B3.8,0,GOES,False
11,2016-01-05 23:33:00.000,2016-01-05 23:37:00.000,2016-01-05 23:38:00.000,B6.3,12476,GOES,False
12,2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,2476,SSW,False
13,2016-01-06 03:27:00.000,2016-01-06 03:48:00.000,2016-01-06 04:03:00.000,B6.6,12480,GOES,False
14,2016-01-06 06:13:00.000,2016-01-06 06:16:00.000,2016-01-06 06:20:00.000,B5.6,2478,SSW,False
15,2016-01-06 09:20:00.000,2016-01-06 09:25:00.000,2016-01-06 09:28:00.000,B8.2,0,SSW,False
16,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,0,SSW,False
17,2016-01-06 12:35:00.000,2016-01-06 13:41:00.000,2016-01-06 14:16:00.000,B6.6,0,SSW,False
18,2016-01-06 14:44:00.000,2016-01-06 14:45:00.000,2016-01-06 14:46:00.000,B9.3,12480,GOES,True
19,2016-01-06 19:25:00.000,2016-01-06 19:30:00.000,2016-01-06 19:34:00.000,B6.8,2480,SSW,False
20,2016-01-06 21:46:00.000,2016-01-06 22:00:00.000,2016-01-06 22:14:00.000,B7.0,2480,SSW,False
21,2016-01-06 23:00:00.000,2016-01-06 23:09:00.000,2016-01-06 23:23:00.000,B5.8,2480,SSW,False
22,2016-01-07 01:45:00.000,2016-01-07 01:48:00.000,2016-01-07 01:51:00.000,B6.0,2480,SSW,False
23,2016-01-07 02:39:00.000,2016-01-07 02:42:00.000,2016-01-07 02:44:00.000,B7.0,2480,SSW,False
24,2016-01-07 03:48:00.000,2016-01-07 03:52:00.000,2016-01-07 03:59:00.000,B8.1,2480,SSW,False
25,2016-01-07 06:11:00.000,2016-01-07 06:17:00.000,2016-01-07 06:23:00.000,C1.0,2480,SSW,False
26,2016-01-07 12:36:00.000,2016-01-07 12:39:00.000,2016-01-07 12:41:00.000,B4.3,2480,SSW,False
27,2016-01-08 00:04:00.000,2016-01-08 00:21:00.000,2016-01-08 00:28:00.000,B4.2,2481,SSW,False
28,2016-01-08 04:09:00.000,2016-01-08 04:14:00.000,2016-01-08 04:18:00.000,B4.5,2481,SSW,False
29,2016-01-08 11:23:00.000,2016-01-08 11:31:00.000,2016-01-08 11:41:00.000,B8.6,2482,SSW,False
30,2016-01-10 17:09:00.000,2016-01-10 17:13:00.000,2016-01-10 17:17:00.000,B4.2,2483,SSW,False
31,2016-01-11 11:18:00.000,2016-01-11 11:21:00.000,2016-01-11 11:24:00.000,B4.0,0,SSW,False
32,2016-01-11 17:00:00.000,2016-01-11 17:14:00.000,2016-01-11 17:33:00.000,B4.4,2480,SSW,False
33,2016-01-11 20:41:00.000,2016-01-11 21:14:00.000,2016-01-11 21:36:00.000,B4.9,2480,SSW,False
34,2016-01-12 09:03:00.000,2016-01-12 09:07:00.000,2016-01-12 09:12:00.000,B6.8,2483,SSW,False
35,2016-01-12 13:39:00.000,2016-01-12 13:53:00.000,2016-01-12 14:09:00.000,B5.3,2480,SSW,False
36,2016-01-12 19:19:00.000,2016-01-12 19:31:00.000,2016-01-12 19:54:00.000,B3.3,12480,GOES,False
37,2016-01-12 21:51:00.000,2016-01-12 22:31:00.000,2016-01-12 22:44:00.000,B4.0,12480,GOES,False
38,2016-01-13 07:05:00.000,2016-01-13 07:25:00.000,2016-01-13 07:43:00.000,B3.9,12483,GOES,False
39,2016-01-13 11:13:00.000,2016-01-13 11:22:00.000,2016-01-13 11:27:00.000,B2.5,2480,SSW,False
40,2016-01-13 13:33:00.000,2016-01-13 13:51:00.000,2016-01-13 14:10:00.000,B2.4,2483,SSW,False
41,2016-01-13 14:57:00.000,2016-01-13 15:05:00.000,2016-01-13 15:13:00.000,B2.4,0,SSW,False
42,2016-01-13 16:59:00.000,2016-01-13 17:05:00.000,2016-01-13 17:08:00.000,B2.3,2482,SSW,False
43,2016-01-13 18:27:00.000,2016-01-13 18:34:00.000,2016-01-13 18:41:00.000,B4.4,0,SSW,False
44,2016-01-13 23:51:00.000,2016-01-14 00:01:00.000,2016-01-14 00:11:00.000,B2.5,2480,SSW,False
45,2016-01-14 10:04:00.000,2016-01-14 10:08:00.000,2016-01-14 10:17:00.000,B3.7,2480,SSW,False
46,2016-01-15 02:34:00.000,2016-01-15 02:39:00.000,2016-01-15 02:41:00.000,C2.8,2480,SSW,False
47,2016-01-15 11:35:00.000,2016-01-15 11:40:00.000,2016-01-15 11:44:00.000,B4.2,12480,GOES,False
48,2016-01-15 12:10:00.000,2016-01-15 12:16:00.000,2016-01-15 12:18:00.000,C1.0,2480,SSW,True
49,2016-01-15 13:25:00.000,2016-01-15 13:28:00.000,2016-01-15 13:31:00.000,B5.1,12480,GOES,False
50,2016-01-15 13:52:00.000,2016-01-15 13:55:00.000,2016-01-15 14:01:00.000,B3.2,12480,GOES,True
51,2016-01-15 15:18:00.000,2016-01-15 15:25:00.000,2016-01-15 15:31:00.000,C1.7,2480,SSW,False
52,2016-01-15 17:41:00.000,2016-01-15 17:45:00.000,2016-01-15 17:48:00.000,B4.4,2480,SSW,False
53,2016-01-15 19:56:00.000,2016-01-15 20:02:00.000,2016-01-15 20:05:00.000,B8.6,2480,SSW,False
54,2016-01-15 20:09:00.000,2016-01-15 20:16:00.000,2016-01-15 20:36:00.000,B8.8,2480,SSW,True
55,2016-01-15 21:59:00.000,2016-01-15 22:03:00.000,2016-01-15 22:05:00.000,C1.1,2480,SSW,False
56,2016-01-16 00:14:00.000,2016-01-16 00:17:00.000,2016-01-16 00:19:00.000,B5.6,2480,SSW,False
57,2016-01-16 01:28:00.000,2016-01-16 01:31:00.000,2016-01-16 01:33:00.000,B3.2,12480,GOES,False
58,2016-01-16 03:32:00.000,2016-01-16 03:36:00.000,2016-01-16 03:39:00.000,B8.7,2480,SSW,False
59,2016-01-16 06:40:00.000,2016-01-16 06:57:00.000,2016-01-16 07:05:00.000,B6.0,2485,SSW,False
