Responsivity for GOES 13-15 XRS-B
3 April 2020

Response values come from the XRS/EUV Data and Calibration Handbooks for each of the GOES 13-15 satellites.

For further information, contact janet.machol@noaa.gov or erika.zetterlund@noaa.gov.

wavelength  g13           g14           g15
[nm]        [A m^2 / W]   [A m^2 / W]   [A m^2 / W]
0.02        1.864e-08     1.864e-08     1.756e-08
0.04        1.336e-07     1.336e-07     1.258e-07
0.06        4.004e-07     4.004e-07     3.772e-07
0.08        8.640e-07     8.640e-07     8.139e-07
0.1         1.469e-06     1.469e-06     1.384e-06
0.12        2.223e-06     2.223e-06     2.094e-06
0.14        3.059e-06     3.059e-06     2.883e-06
0.16        3.894e-06     3.894e-06     3.669e-06
0.18        4.643e-06     4.643e-06     4.376e-06
0.2         5.238e-06     5.238e-06     4.939e-06
0.22        5.664e-06     5.664e-06     5.341e-06
0.24        5.918e-06     5.918e-06     5.583e-06
0.26        6.038e-06     6.038e-06     5.698e-06
0.28        6.051e-06     6.051e-06     5.713e-06
0.3         6.002e-06     6.002e-06     5.670e-06
0.32        5.903e-06     5.903e-06     5.581e-06
0.34        5.779e-06     5.779e-06     5.467e-06
0.36        5.633e-06     5.633e-06     5.334e-06
0.38        5.476e-06     5.476e-06     5.190e-06
0.38699     5.419e-06     5.419e-06     5.138e-06
0.38701     3.730e-06     3.730e-06     3.536e-06
0.4         3.841e-06     3.841e-06     3.644e-06
0.42        3.966e-06     3.966e-06     3.767e-06
0.44        4.050e-06     4.050e-06     3.852e-06
0.46        4.088e-06     4.088e-06     3.894e-06
0.48        4.086e-06     4.086e-06     3.898e-06
0.5         4.036e-06     4.036e-06     3.857e-06
0.52        3.952e-06     3.952e-06     3.784e-06
0.54        3.836e-06     3.836e-06     3.680e-06
0.56        3.689e-06     3.689e-06     3.547e-06
0.58        3.520e-06     3.520e-06     3.392e-06
0.6         3.330e-06     3.330e-06     3.217e-06
0.62        3.124e-06     3.124e-06     3.027e-06
0.64        2.925e-06     2.925e-06     2.842e-06
0.68        2.498e-06     2.498e-06     2.442e-06
0.72        2.078e-06     2.078e-06     2.046e-06
0.76        1.671e-06     1.671e-06     1.659e-06
0.8         1.314e-06     1.314e-06     1.316e-06
0.84        9.998e-07     9.998e-07     1.012e-06
0.88        7.448e-07     7.448e-07     7.619e-07
0.92        5.376e-07     5.376e-07     5.566e-07
0.96        3.799e-07     3.799e-07     3.985e-07
1           2.601e-07     2.601e-07     2.767e-07
1.04        1.708e-07     1.708e-07     1.845e-07
1.08        1.098e-07     1.098e-07     1.206e-07
1.12        6.766e-08     6.766e-08     7.566e-08
1.16        4.040e-08     4.040e-08     4.606e-08
1.2         2.338e-08     2.338e-08     2.720e-08
1.3         4.824e-09     4.824e-09     5.952e-09
1.4         8.066e-10     8.066e-10     1.063e-09
1.5         1.093e-10     1.093e-10     1.552e-10
