,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Flux NoSub,Peak Flux,Fancy Onset,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:38:40,,8.595232591877247,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,,,,,,,,
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:31:50,,11.391542469681896,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,10.351624902250272,,,,,,,
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:37:50,,9.909774662601468,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,9.750130835300904,10.291094423520244,9.877932971932315,9.835619767350154,9.97144126300781,10.297661131790884,10.49265696103051,10.545357498494216
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:31:50,,8.783448040211733,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,9.28726648323961,,,,,,,
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:19:20,,8.427465415773849,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,,,,,,,,
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:27:00,,11.1672027473955,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,,,,,,,,
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:08:10,,10.460224728305398,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,9.882577103207113,10.075267238757597,10.234237392868481,10.27568741959539,10.246292077099392,10.429677096047131,10.733716500245896,10.840465877693587
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:08:10,,10.460224728305398,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,9.882577103207113,10.075267238757597,10.234237392868481,10.27568741959539,10.246292077099392,10.429677096047131,10.733716500245896,10.840465877693587
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:21:40,,10.422926360234536,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,,,,,,,,
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:19:00,,8.596223978755088,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,,,,,,,,
10,2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,-167.550528,-111.486858,2476,2016-01-06 00:28:51.145,2016-01-06 00:16:20,,8.082408983610467,2016-01-06 00:28:51.145,2016-01-06 00:28:51.145,,,,,,,,
11,2016-01-06 06:13:00.000,2016-01-06 06:16:00.000,2016-01-06 06:20:00.000,B5.6,-169.718208,127.765752,2478,2016-01-06 06:16:23.938,2016-01-06 06:14:00.000,,9.804771105211849,2016-01-06 06:16:23.938,2016-01-06 06:16:23.938,9.976087904630198,9.69512288743924,10.62143689079663,10.428635150984904,10.1238010963972,9.872159020792752,9.847194382893127,9.92229371757184
12,2016-01-06 09:20:00.000,2016-01-06 09:25:00.000,2016-01-06 09:28:00.000,B8.2,-856.50726,147.17112,0,2016-01-06 09:25:27.751,2016-01-06 09:23:00,,10.599738934568354,2016-01-06 09:25:27.751,2016-01-06 09:25:27.751,,,,,,,,
13,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,-963.32982,43.49961,0,2016-01-06 11:37:19.115,2016-01-06 11:32:30,,12.240996752939676,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,10.89254146342347,10.897613906139892,11.021401035549843,11.01816533029776,10.89671805934412,10.770720873336508,10.798480277990459,10.862753042683824
14,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,789.14988,-387.148638,0,2016-01-06 11:37:19.115,2016-01-06 11:32:30,,12.240996752939676,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,10.89254146342347,10.897613906139892,11.021401035549843,11.01816533029776,10.89671805934412,10.770720873336508,10.798480277990459,10.862753042683824
