,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Background End Time,Mean Onset Temp,Flare Peak Temp,Peak Time NoSub,Peak Time,Fancy Temp,Fancy EM,Peak Temp,Peak EM,Mean Onset 1/8,Mean Onset 1/6,Mean Onset 1/4,Mean Onset 1/3,Mean Onset 1/2,Mean Onset 2/3,Mean Onset 3/4,Flare Max Temp,Flare Max EM,Fancy Onset,Flare Peak EM
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:38:40,,,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,9.434342924206904,3.102062123030484e+46,8.595232591877247,2.356992974658229e+47,"(11.325468372654806, 8.157241301473239e+45)","(10.11300730292433, 1.4139520598013214e+46)","(9.987317812812192, 1.9371616039599696e+46)","(9.526402944038459, 2.997587530912206e+46)","(9.02230578310421, 5.290826474927042e+46)","(8.932809465434318, 7.635027726015943e+46)","(8.99734873412696, 8.515025177716323e+46)",,,,
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:31:50,,,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,10.351624902250272,2.1228616478372337e+47,11.391542469681896,1.1994876113411221e+48,"(13.537186307389335, 7.017577983823031e+45)","(13.224559844275316, 8.660254023621782e+45)","(12.337824107287192, 1.3508957648315013e+46)","(11.756598963103826, 2.0531430942055162e+46)","(10.577007554668613, 3.834037779120788e+46)","(10.56712541599309, 8.561432754315086e+46)","(10.658017554881223, 1.2664581796517994e+47)",,,,
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:37:50,,,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,9.750130835300904,2.474842993603593e+47,9.909774662601468,1.4742008040284527e+48,"(10.291094423520244, 7.84493144969337e+46)","(9.877932971932315, 9.950471935799664e+46)","(9.835619767350154, 1.435345647619752e+47)","(9.97144126300781, 1.967269980112212e+47)","(10.297661131790884, 3.2609950817346208e+47)","(10.49265696103051, 4.702424330857029e+47)","(10.545357498494216, 5.400014088824013e+47)",,,,
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:31:50,,,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,9.28726648323961,2.9329431363425445e+47,8.783448040211733,4.282474622371606e+47,"(8.904423649262814, 3.776500891637746e+46)","(8.859100033640736, 4.597730958688066e+46)","(9.099115154646078, 6.104730996325241e+46)","(9.17473839750137, 8.699847820778625e+46)","(9.249508169339578, 1.3717340952691103e+47)","(9.269269775445817, 1.7865502692032761e+47)","(9.233580282347424, 1.9535842279310564e+47)",,,,
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:19:20,,,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,10.40696828797702,6.799868715731921e+46,8.427465415773849,2.1559812394924836e+47,"(6.0977882525289635, 9.023440110901418e+45)","(6.0977882525289635, 9.023440110901418e+45)","(6.0977882525289635, 9.023440110901418e+45)","(19.52577011104614, 4.9207954147023506e+45)","(13.041288593482486, 3.502803713916573e+46)","(10.141641398078926, 7.515865148537521e+46)","(9.834281609623925, 8.31049620689494e+46)",,,,
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:27:00,,,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,8.096344156599075,6.460413016835074e+46,11.1672027473955,1.6008995143532097e+48,"(5.944720479373819, 7.973927272817922e+46)","(6.548409463521439, 6.971108103082897e+46)","(7.247663144809391, 6.16257239462772e+46)","(7.93139554188907, 6.049046318885439e+46)","(8.177396337931807, 1.0879801246151151e+47)","(8.717994881575333, 2.260335821632146e+47)","(9.057638604720022, 3.0840397263697537e+47)",,,,
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:08:10,,,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,9.882577103207113,3.9744249822642485e+47,10.460224728305398,1.5178710653483995e+49,"(10.075267238757597, 4.715001117295305e+47)","(10.234237392868481, 6.767414495601716e+47)","(10.27568741959539, 1.1574572650456142e+48)","(10.246292077099392, 1.638694752649253e+48)","(10.429677096047131, 2.5675982423644904e+48)","(10.733716500245896, 3.680861925223435e+48)","(10.840465877693587, 4.3367810265680076e+48)",,,,
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-01 23:59:59.221,2016-01-01 23:08:10,,,2016-01-01 23:59:59.221,2016-01-01 23:59:59.221,9.882577103207113,3.9744249822642485e+47,10.460224728305398,1.5178710653483995e+49,"(10.075267238757597, 4.715001117295305e+47)","(10.234237392868481, 6.767414495601716e+47)","(10.27568741959539, 1.1574572650456142e+48)","(10.246292077099392, 1.638694752649253e+48)","(10.429677096047131, 2.5675982423644904e+48)","(10.733716500245896, 3.680861925223435e+48)","(10.840465877693587, 4.3367810265680076e+48)",,,,
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:21:40,,,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,10.041492140837585,5.335004617344435e+46,10.422926360234536,1.1665708174883346e+47,"(12.141916310117441, 8.22858566477222e+45)","(12.540319756573227, 9.521994291574126e+45)","(11.088204015693165, 2.606198561681342e+46)","(10.480903355082605, 3.897519450153494e+46)","(9.950739345650659, 5.860067850010073e+46)","(9.772000836177627, 7.057756547197558e+46)","(9.64564488314373, 7.631465741398203e+46)",,,,
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:19:00,,,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,8.522546166021499,4.808704071086229e+46,8.596223978755088,1.6726396141164071e+47,"(10.926471581662573, 8.409217088112458e+45)","(9.46488666528711, 1.7840231105059177e+46)","(8.935823800474413, 2.5028739085149595e+46)","(8.593063956366944, 3.7295791932145444e+46)","(8.443181230315753, 6.459318151211362e+46)","(8.295682537736909, 9.088823351466885e+46)","(8.261162227452678, 9.966905849398035e+46)",,,,
10,2016-01-06 00:14:00.000,2016-01-06 00:25:00.000,2016-01-06 00:37:00.000,B4.4,-167.550528,-111.486858,2476,2016-01-06 00:28:51.145,2016-01-06 00:16:20,,,2016-01-06 00:28:51.145,2016-01-06 00:28:51.145,25.134888278261204,2.2675335862274815e+45,8.082408983610467,1.3730743708066072e+47,"(23.2822634731426, 2.081133570208117e+45)","(21.735524944965288, 3.134872399156161e+45)","(22.37026188730517, 4.173454452988401e+45)","(21.20374652396764, 5.006956474857442e+45)","(18.146427204268164, 9.539161354920232e+45)","(15.657049994774383, 2.843157402411493e+46)","(14.842192516058349, 3.8350742481931343e+46)",,,,
11,2016-01-06 06:13:00.000,2016-01-06 06:16:00.000,2016-01-06 06:20:00.000,B5.6,-169.718208,127.765752,2478,2016-01-06 06:16:23.938,2016-01-06 06:14:00.000,,,2016-01-06 06:16:23.938,2016-01-06 06:16:23.938,9.976087904630198,3.9571187708899333e+46,9.804771105211849,2.839658409688678e+47,"(9.69512288743924, 9.628131108933747e+45)","(10.62143689079663, 1.061424840032137e+46)","(10.428635150984904, 1.7874857871771241e+46)","(10.1238010963972, 2.7713142646825065e+46)","(9.872159020792752, 4.77458615187341e+46)","(9.847194382893127, 6.826103247896294e+46)","(9.92229371757184, 7.8495259772805e+46)",,,,
12,2016-01-06 09:20:00.000,2016-01-06 09:25:00.000,2016-01-06 09:28:00.000,B8.2,-856.50726,147.17112,0,2016-01-06 09:25:27.751,2016-01-06 09:23:00,,,2016-01-06 09:25:27.751,2016-01-06 09:25:27.751,10.05864440998412,2.103855185406293e+47,10.599738934568354,3.4972361835923773e+47,"(7.319909619498939, 1.2603712472224691e+47)","(8.443028092653973, 1.2139309364301042e+47)","(9.635306098676441, 1.5139750260439803e+47)","(9.970094985445646, 1.8672649903237188e+47)","(10.114985814147724, 2.2387955002397506e+47)","(10.22208504980359, 2.3473008244042324e+47)","(10.273810578783289, 2.380786121051776e+47)",,,,
13,2016-01-06 11:31:00.000,2016-01-06 11:37:00.000,2016-01-06 11:39:00.000,C1.8,-963.32982,43.49961,0,2016-01-06 11:37:19.115,2016-01-06 11:32:30,,,2016-01-06 11:37:19.115,2016-01-06 11:37:19.115,10.89254146342347,1.3354657497915595e+47,12.240996752939676,1.0516542058010048e+48,"(10.897613906139892, 3.0787649148219997e+46)","(11.021401035549843, 3.8246577550299805e+46)","(11.01816533029776, 5.034058715627719e+46)","(10.89671805934412, 5.995467251339072e+46)","(10.770720873336508, 9.547355434186539e+46)","(10.798480277990459, 1.0354519423191394e+47)","(10.862753042683824, 1.038238745006058e+47)",,,,
