,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,ar_noaanum,Actual Peak Time,Peak Time NoSub,Peak Time,Background End Time,Fancy Temp,Fancy EM,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4
0,2016-01-01 04:38:00.000,2016-01-01 04:41:00.000,2016-01-01 04:51:00.000,B6.2,850.36092,-298.99632,2473,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:41:40.578,2016-01-01 04:38:40,8.918560052055154,2.6409292748696784e+46,58.0,8.595232591877247,2.356992974658229e+47,9.730964777911232,1.5902613476697414e+47,9.79817378265115,2.4222512436119768e+47,9.61620276766328,6.696640820946618e+45,22.57225,8.847699559889517,1.0441669669887948e+46,30.096333,9.426786340739465,1.54516806437357e+46,45.1445,8.937799670177473,2.558028871657052e+46,60.192667,8.410322455861197,4.737965720671133e+46,90.289,8.613293466896733,7.001594134376352e+46,120.385333,8.832425736012839,7.856917743362896e+46,135.4335
1,2016-01-01 06:33:00.000,2016-01-01 06:38:00.000,2016-01-01 06:43:00.000,C2.3,855.34758,-282.6777,2473,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:38:26.785,2016-01-01 06:31:50,10.911408127208404,2.086488107483976e+47,110.0,11.391542469681896,1.1994876113411221e+48,11.683413946074484,1.1412642151291352e+48,11.837147837640057,1.1994876113411221e+48,13.825431596309567,6.195360210629272e+45,49.598125,13.454529548080439,7.195055494993863e+45,66.130833,12.197367900260332,1.163642159013345e+46,99.19625,11.308435191359205,1.7941133572859448e+46,132.261667,9.95874688665298,3.154812542160247e+46,198.3925,10.630122126980675,7.909565009953712e+46,264.523333,10.96963939586255,1.2012183177355467e+47,297.58875
2,2016-01-01 09:36:00.000,2016-01-01 09:48:00.000,2016-01-01 09:56:00.000,C2.4,883.41276,-286.433646,2473,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:48:36.128,2016-01-01 09:37:50,9.926410873024654,2.4516501261844004e+47,100.0,9.909774662601468,1.4742008040284527e+48,11.06861189962886,1.1841716832286194e+48,11.281467971142147,1.4742008040284527e+48,10.294696712266777,5.652416396843345e+46,80.766,9.66019617790995,8.115396245537817e+46,107.688,9.76135202473961,1.3075464515145618e+47,161.532,10.083643971719498,1.8643207851724776e+47,215.376,10.670709556725264,3.173792005741166e+47,323.064,10.876067520461058,4.631098569362898e+47,430.752,10.894669049821914,5.3366190347482895e+47,484.596
3,2016-01-01 17:30:00.000,2016-01-01 17:36:00.000,2016-01-01 17:43:00.000,B8.4,872.98962,-284.654142,2473,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:36:38.095,2016-01-01 17:31:50,9.279195233262168,2.923476521241832e+47,90.0,8.783448040211733,4.282474622371606e+47,9.400189929524856,3.5464883462195214e+47,9.400189929524856,4.282474622371606e+47,8.913203998459103,3.488045566708819e+46,36.011875,8.86833463332386,4.302230127597613e+46,48.015833,9.288327744524596,5.799019661703277e+46,72.02375,9.327409206049671,8.385668213696698e+46,96.031667,9.37416094397646,1.342753631989973e+47,144.0475,9.35343902223975,1.7584305510389548e+47,192.063333,9.28219979294942,1.9245316933820003e+47,216.07125
4,2016-01-01 20:18:00.000,2016-01-01 20:21:00.000,2016-01-01 20:23:00.000,B5.5,872.85366,-318.52686,2473,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:20:51.011,2016-01-01 20:19:20,8.199393099449114,1.6330301295382943e+46,58.0,8.427465415773849,2.1559812394924836e+47,9.160517826626025,1.6914456199951774e+47,9.160517826626025,2.1559812394924836e+47,19.13404338344429,5.0607362232748e+44,11.376375,19.901550214109594,4.1226740832735165e+44,15.1685,13.739948996104236,5.559451452648711e+44,22.75275,25.597781025977447,4.500746306994944e+44,30.337,10.825330100663308,2.920876354612723e+45,45.5055,7.880825578443689,1.9961559604154278e+46,60.674,8.034677836332776,2.9247677432831404e+46,68.25825
5,2016-01-01 22:25:00.000,2016-01-01 22:30:00.000,2016-01-01 22:33:00.000,C2.7,870.3405,-352.009296,2473,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:29:50.428,2016-01-01 22:27:00,8.788795607877276,4.407695745156412e+46,58.0,11.1672027473955,1.6008995143532097e+48,11.779350050341687,1.4528968711655215e+48,12.065018138679113,1.6008995143532097e+48,5.8080748451822295,5.023742786049516e+46,21.3035,6.730324505731423,3.861079415017201e+46,28.404667,7.743550941168633,3.6406511238505743e+46,42.607,8.692339476375157,3.918884575827962e+46,56.809333,8.728475471573264,9.259460186099244e+46,85.214,10.0546304657176,2.0579165711326756e+47,113.618667,10.800108552544149,2.837720313529911e+47,127.821
6,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-01 23:08:10,9.921958100092892,3.971658824863591e+47,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,1.7392063154199564e+49,10.46914103854431,5.962765400905135e+47,471.341,10.518176870688292,8.734517752140004e+47,628.454667,10.31442654310305,1.4658953115166995e+48,942.682,10.357552027587348,2.0257819070257055e+48,1256.909333,11.000034855060294,3.2219597548196796e+48,1885.364,11.330389679051752,4.786077518019459e+48,2513.818667,11.2614331334372,5.639459949937325e+48,2828.046
7,2016-01-01 23:10:00.000,2016-01-02 00:10:00.000,2016-01-02 01:20:00.000,M2.4,875.89056,-405.303486,2473,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-02 00:11:00.728,2016-01-01 23:08:10,9.921958100092892,3.971658824863591e+47,150.0,9.915412810904405,1.7392063154199564e+49,10.762034567128438,1.3855315956008328e+49,11.820847518969229,1.7392063154199564e+49,10.46914103854431,5.962765400905135e+47,471.341,10.518176870688292,8.734517752140004e+47,628.454667,10.31442654310305,1.4658953115166995e+48,942.682,10.357552027587348,2.0257819070257055e+48,1256.909333,11.000034855060294,3.2219597548196796e+48,1885.364,11.330389679051752,4.786077518019459e+48,2513.818667,11.2614331334372,5.639459949937325e+48,2828.046
8,2016-01-03 20:20:00.000,2016-01-03 20:24:00.000,2016-01-03 20:27:00.000,B4.7,-595.24614,-109.382712,2476,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:24:17.521,2016-01-03 20:21:40,9.332027422557557,4.798567576708776e+46,68.0,10.422926360234536,1.1665708174883346e+47,10.581678580043048,1.107923866857815e+47,10.581678580043048,1.4519109642408097e+47,11.526997292323228,7.653554681194442e+45,19.690125,12.316864348673903,8.744019800082317e+45,26.2535,10.341369562863068,1.9460214039423692e+46,39.38025,9.60868273616669,3.208510563843342e+46,52.507,9.283622880909682,5.256849482351045e+46,78.7605,9.288444354986815,6.50337697263372e+46,105.014,9.180446163107922,7.091592816030905e+46,118.14075
9,2016-01-04 06:17:00.000,2016-01-04 06:21:00.000,2016-01-04 06:24:00.000,B4.1,-217.024158,224.278872,0,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:21:27.395,2016-01-04 06:19:00,7.974197315035524,4.296778480635772e+46,58.0,8.596223978755088,1.6726396141164071e+47,9.178540658118196,1.423289620764649e+47,8.841175140535238,1.880043184965304e+47,9.11598920662106,9.119518037779512e+45,18.424375,8.133475012521039,1.403752885934782e+46,24.565833,7.684297576180234,2.1306347081277267e+46,36.84875,7.750141602306958,3.2106407808963636e+46,49.131667,8.038483450829448,5.7590606813577e+46,73.6975,7.97495060651611,8.314815532794469e+46,98.263333,7.982515479971208,9.210828697750176e+46,110.54625
