,Unnamed: 0.1,Unnamed: 0,event_starttime,event_peaktime,event_endtime,fl_goescls,hpc_x,hpc_y,hgc_x,hgc_y,ar_noaanum,Proximity Flag,Actual Peak Time,Peak Time NoSub,Peak Time,Peak Flux,Background End Time,Fancy Temp,Fancy Temp Nosub,Fancy EM,Fancy EM Nosub,Fancy Tdelta,Peak Temp Long,Peak EM Long,Peak Temp Short,Peak EM Short,Flare Max Temp,Flare Max EM,Temp 1/8,EM 1/8,Tdelta 1/8,Temp 1/6,EM 1/6,Tdelta 1/6,Temp 1/4,EM 1/4,Tdelta 1/4,Temp 1/3,EM 1/3,Tdelta 1/3,Temp 1/2,EM 1/2,Tdelta 1/2,Temp 2/3,EM 2/3,Tdelta 2/3,Temp 3/4,EM 3/4,Tdelta 3/4,Background Flag,Onset Flag
1084,1084,1100,2011-02-15 01:44:00.000,2011-02-15 01:45:00.000,2011-02-15 01:56:00.000,X2.2,159.1662,-224.1456,31.834661,-20.0,1158.0,False,2011-02-15 01:55:59.708,2011-02-15 01:55:59.708,2011-02-15 01:55:59.708,0.0003231149,2011-02-15 01:44:50,16.676534769163535,8.984668288724242,9.304305512390523e+46,1.15449735482373e+48,166.927,17.85830069634639,1.0497959876810839e+50,18.015473959959717,1.0358840105863939e+50,19.39753764324906,1.0497959876810839e+50,,,0.0,17.265536925377663,7.294025006486562e+46,27.9045,16.45397949157207,1.6700073771155692e+47,83.7135,16.325870474442794,3.973946487661152e+47,139.5225,16.909628035549847,2.9453293421181727e+48,251.1405,17.53418689132118,9.928825430564644e+48,362.7585,17.777196322975332,1.5161358259566028e+49,418.5675,0.0,1.0
2010,2010,2113,2011-07-28 17:59:00.000,2011-07-28 18:15:00.000,2011-07-28 18:22:00.000,C1.6,-717.162,156.423,-31.606387,13.0,0.0,False,2011-07-28 18:04:04.598,2011-07-28 18:04:04.598,2011-07-28 18:04:04.598,0.0022636887,2011-07-28 18:01:10,4.137950051213088,8.09360903940227,,2.3914755218664822e+45,43.1495,18.87812846307349,7.118912368508653e+50,18.88270853631316,7.114858102149283e+50,76.22337267065119,7.118912368508653e+50,,,0.0,5.03754767209776,,7.274917,4.964144080988435,,21.82475,5.350390788681791,,36.374583,16.7723310210106,6.976099958174938e+46,65.47425,18.35122836341373,1.0941856402747245e+48,94.573917,18.46881482897226,3.2023121921297056e+48,109.12375,0.0,1.0
2139,2139,2243,2011-08-09 07:48:00.000,2011-08-09 08:05:00.000,2011-08-09 08:08:00.000,X6.9,858.23928,191.642838,-64.6915,14.0,0.0,True,2011-08-09 08:04:54.881,2011-08-09 08:04:54.881,2011-08-09 08:04:54.881,0.0010596869,2011-08-09 07:46:50,11.785635162739274,7.603169044237103,8.629782715928109e+46,1.1231971337097377e+48,70.0,19.43910076828047,3.274603245409145e+50,20.888666598975604,3.0225967322446427e+50,23.01837740518426,3.274603245409145e+50,,,0.0,11.693786013107898,8.097183646266218e+46,45.203375,12.220919664902226,1.328479572516764e+47,135.610125,12.56918987937418,2.2698417583160048e+47,226.016875,12.890408100981633,5.424342701697717e+47,406.830375,12.97323516831232,1.0206563900800529e+48,587.643875,12.971726237307983,1.3331419099533766e+48,678.050625,0.0,0.0
2348,2348,2452,2011-09-06 22:12:00.000,2011-09-06 22:20:00.000,2011-09-06 22:24:00.000,X2.1,286.5198,118.1094,-133.61555,14.0,1283.0,False,2011-09-06 22:20:50.348,2011-09-06 22:20:50.348,2011-09-06 22:20:50.348,0.00030699404,2011-09-06 22:12:40,12.40217765111127,9.660283155183263,1.0577472575579083e+47,1.6237801344450686e+48,88.0,16.382364913821867,1.0488470064817276e+50,19.946277372531505,8.258148502586211e+49,21.48000011225482,1.0488470064817276e+50,,,0.0,12.498470299065584,1.6191590181057114e+47,20.431167,12.55621580332332,2.1471973591126583e+47,61.2935,12.840344720025293,3.0225913745199614e+47,102.155833,13.38607236216546,6.1692841471930925e+47,183.8805,14.0642918503099,1.5514798270402856e+48,265.605167,14.606670964372483,3.87918807781193e+48,306.4675,0.0,0.0
2349,2349,2453,2011-09-06 22:12:00.000,2011-09-06 22:20:00.000,2011-09-06 22:24:00.000,X2.1,286.52001,118.109658,-133.61555,14.0,1283.0,False,2011-09-06 22:20:50.348,2011-09-06 22:20:50.348,2011-09-06 22:20:50.348,0.00030699404,2011-09-06 22:12:40,12.40217765111127,9.660283155183263,1.0577472575579083e+47,1.6237801344450686e+48,88.0,16.382364913821867,1.0488470064817276e+50,19.946277372531505,8.258148502586211e+49,21.48000011225482,1.0488470064817276e+50,,,0.0,12.498470299065584,1.6191590181057114e+47,20.431167,12.55621580332332,2.1471973591126583e+47,61.2935,12.840344720025293,3.0225913745199614e+47,102.155833,13.38607236216546,6.1692841471930925e+47,183.8805,14.0642918503099,1.5514798270402856e+48,265.605167,14.606670964372483,3.87918807781193e+48,306.4675,0.0,0.0
2554,2554,2659,2011-09-29 17:57:00.000,2011-09-29 18:09:00.000,2011-09-29 18:28:00.000,C5.6,-261.0144,58.06998,-108.90586,10.0,1305.0,False,2011-09-29 18:04:14.851,2011-09-29 18:04:14.851,2011-09-29 18:04:14.851,0.0022632792,2011-09-29 18:00:20,2.3131560183820583,4.7158538421437965,,1.2503062851790048e+48,58.21275,18.879997787738755,7.117206183749777e+50,18.884578175308437,7.11315231454037e+50,54.88602359593109,7.117206183749777e+50,,,0.0,1.9427575728145947,,9.785458,3.175165990448717,,29.356375,3.823697354306753,,48.927292,4.017704891354471,,88.069125,8.28781091908304,1.4934011736707299e+47,127.210958,10.919040501423762,1.2049405893589421e+48,146.781875,0.0,1.0
2778,2778,2883,2011-11-03 17:57:00.000,2011-11-03 17:59:00.000,2011-11-03 18:09:00.000,C2.2,-832.278,320.613,98.42215,21.0,1339.0,False,2011-11-03 18:04:32.525,2011-11-03 18:04:32.525,2011-11-03 18:04:32.525,0.0022618764,2011-11-03 17:58:40,,6.566541339063354,,2.208644366221153e+48,40.0,18.88605546604803,7.11144071323045e+50,18.89064335400161,7.10738671667294e+50,33.15749980907776,7.11144071323045e+50,,,0.0,12.472539610460634,2.1416716687997855e+46,14.688542,12.90974207305869,3.0610826808621444e+46,44.065625,13.142015087412702,3.533196150856784e+46,73.442708,9.742924111641688,4.1013351092633667e+46,132.196875,8.002397617587167,4.1013351092633667e+46,190.951042,7.6815122236959805,4.1013351092633667e+46,220.328125,0.0,0.0
2890,2890,2996,2011-11-17 17:52:00.000,2011-11-17 19:13:00.000,2011-11-17 19:21:00.000,C2.7,-908.07342,-292.233936,-97.10811,-17.0,1354.0,False,2011-11-17 18:04:15.438,2011-11-17 18:04:15.438,2011-11-17 18:04:15.438,0.0022625774,2011-11-17 18:00:00,4.087138306236271,5.245313132740928,,1.521114448765467e+48,63.3595,18.88314076322563,7.114296562540519e+50,18.88772538248355,7.110242539243887e+50,48.35863799057016,7.114296562540519e+50,,,0.0,6.2930356472145865,,10.64325,4.496798993394092,,31.92975,4.663388565581422,,53.21625,4.83411077519962,,95.78925,4.768184340215922,,138.36225,8.325359038060814,5.857613635911268e+47,159.64875,0.0,1.0
3344,3344,3451,2012-01-27 17:37:00.000,2012-01-27 18:37:00.000,2012-01-27 18:56:00.000,X1.7,813.70434,534.876966,-149.27804,33.0,1402.0,False,2012-01-27 18:36:43.195,2012-01-27 18:36:43.195,2012-01-27 18:36:43.195,0.0002568174,2012-01-27 17:38:00,10.938735240731194,7.263308616937808,1.8130605706516903e+47,1.3894692838782774e+48,70.0,13.314960070268024,1.0081310901417512e+50,14.521061970691116,8.660269171143809e+49,15.286875199205983,1.0081310901417512e+50,,,0.0,11.316144898381207,1.2241895801603293e+48,146.799792,11.14918201133581,1.4946485608391185e+48,440.399375,10.829789175606711,1.5901670761034758e+48,733.998958,10.85650955901302,1.68105683361762e+48,1321.198125,11.485145945091874,3.737536320348772e+48,1908.397292,11.764377257118342,6.982841474648546e+48,2201.996875,0.0,0.0
3561,3561,3669,2012-03-07 00:02:00.000,2012-03-07 00:24:00.000,2012-03-07 00:40:00.000,X5.4,-475.076154,397.082874,-62.39254,18.0,1429.0,True,2012-03-07 00:24:48.035,2012-03-07 00:24:48.035,2012-03-07 00:24:48.035,0.00077529077,2012-03-06 23:59:30,18.74444923889799,7.541102947188557,3.3019112238605e+46,3.907163990557677e+48,148.0,17.411012337273313,2.556351173515557e+50,19.02263718761929,2.263491392291842e+50,20.245842513432105,2.556351173515557e+50,,,0.0,17.88802599720366,1.7732431020048926e+47,63.251458,17.31439824516849,5.348898555111658e+47,189.754375,17.66480772312949,3.807934509758788e+48,316.257292,17.746171872542487,2.159067597672064e+49,569.263125,17.811575511315745,3.38972082381835e+49,822.268958,18.119104170144183,4.4856362688182524e+49,948.771875,0.0,0.0
