Responsivity for GOES 13-15 XRS-A
3 April 2020

Response values come from the XRS/EUV Data and Calibration Handbooks for each of the GOES 13-15 satellites.

For further information, contact janet.machol@noaa.gov or erika.zetterlund@noaa.gov.

wavelength  g13           g14           g15
[nm]        [A m^2 / W]   [A m^2 / W]   [A m^2 / W]
0.01        1.167e-07     1.167e-07     1.171e-07
0.02        5.798e-07     5.798e-07     5.818e-07
0.03        1.244e-06     1.244e-06     1.249e-06
0.035799    1.564e-06     1.564e-06     1.569e-06
0.035801    6.948e-07     6.948e-07     6.971e-07
0.04        9.296e-07     9.296e-07     9.328e-07
0.05        1.674e-06     1.674e-06     1.680e-06
0.06        2.694e-06     2.694e-06     2.703e-06
0.07        3.963e-06     3.963e-06     3.976e-06
0.08        5.443e-06     5.443e-06     5.462e-06
0.09        7.065e-06     7.065e-06     7.092e-06
0.1         8.780e-06     8.780e-06     8.815e-06
0.11        1.053e-05     1.053e-05     1.058e-05
0.12        1.217e-05     1.217e-05     1.223e-05
0.13        1.367e-05     1.367e-05     1.374e-05
0.14        1.493e-05     1.493e-05     1.501e-05
0.15        1.566e-05     1.566e-05     1.576e-05
0.16        1.649e-05     1.649e-05     1.660e-05
0.17        1.705e-05     1.705e-05     1.718e-05
0.18        1.725e-05     1.725e-05     1.740e-05
0.19        1.727e-05     1.727e-05     1.744e-05
0.2         1.711e-05     1.711e-05     1.729e-05
0.21        1.667e-05     1.667e-05     1.687e-05
0.22        1.632e-05     1.632e-05     1.654e-05
0.23        1.540e-05     1.540e-05     1.563e-05
0.24        1.485e-05     1.485e-05     1.509e-05
0.25        1.359e-05     1.359e-05     1.384e-05
0.25899     1.310e-05     1.310e-05     1.337e-05
0.25901     1.020e-05     1.020e-05     1.041e-05
0.26        1.012e-05     1.012e-05     1.033e-05
0.27        1.000e-05     1.000e-05     1.022e-05
0.28        9.660e-06     9.660e-06     9.902e-06
0.29        9.398e-06     9.398e-06     9.656e-06
0.3         9.045e-06     9.045e-06     9.317e-06
0.31        8.613e-06     8.613e-06     8.897e-06
0.32        8.092e-06     8.092e-06     8.385e-06
0.33        7.578e-06     7.578e-06     7.876e-06
0.34        6.995e-06     6.995e-06     7.296e-06
0.35        6.446e-06     6.446e-06     6.747e-06
0.36        5.804e-06     5.804e-06     6.100e-06
0.38        4.671e-06     4.671e-06     4.951e-06
0.4         3.619e-06     3.619e-06     3.873e-06
0.42        2.708e-06     2.708e-06     2.928e-06
0.44        1.957e-06     1.957e-06     2.140e-06
0.46        1.355e-06     1.355e-06     1.501e-06
0.48        9.081e-07     9.081e-07     1.020e-06
0.5         5.841e-07     5.841e-07     6.665e-07
0.55        1.630e-07     1.630e-07     1.944e-07
0.6         3.461e-08     3.461e-08     4.356e-08
0.7         6.831e-10     6.831e-10     9.851e-10
0.8         3.294e-12     3.294e-12     5.716e-12
